https://medium.com/odds-team/stats/stories,,
Date,Article,Author
2020/01/02,ผลของการโพสต์บทความสัปดาห์ละอัน,Chokchai Phatharamalai
2020/01/05,Commit ทุกลมหายใจ,Pallat Anchaleechamaikorn
2020/01/09,ยิ้ม,Chokchai Phatharamalai
2020/01/09,Java Developer ลองจัดการ Version ด้วย SDK Man ดีไหมนะ?,Kawee Lertrungmongkol
2020/01/12,แปลกใหม่ != แตกต่าง,Jane.Makub
2020/01/16,การทำงานเป็นทีม,Chokchai Phatharamalai
2020/01/23,เขียน learning objective ด้วย bloom taxonomy,Chokchai Phatharamalai
2020/01/24,Cypress — เขียน Spec ด้วย Cucumber,tumit
2020/01/25,รับฟังก่อนนะ! อย่าเพิ่งตัดสิน,Amorndej <Ko-Dookie>
2020/01/25,Loading Initial Data As A Migration Step in Django Project,แมวใบไม้ ครองโลก Airmee Chanita Anuwong
2020/01/26,[iOS] : มาเขียน Unit Test เล่นๆใน Playground กัน,Chayawat Suntornrak
2020/01/27,Cypress — Run Cypress บน Jenkins,tumit
2020/01/27,บันทึกการใช้ Wiremock จำลอง REST API​s,Kawee Lertrungmongkol
2020/01/29,Java — เดี๋ยวนี้ Java มันเสียตังค์แล้วเหรอ ?,tumit
2020/01/29,อยากเขียน Unit Test ด้วย Jest ใน Angular8,Nitcharee Patkhunjiratawol
2020/01/29,Cypress — รันผ่าน dockerfile agent,tumit
2020/01/30,ตั้งเป้าหมาย ค่อยๆเติมเต็ม และสนุกไปกับมัน,Amorndej <Ko-Dookie>
2020/01/30,Design decision จาก CFO,Chokchai Phatharamalai
2020/01/30,Cypress — กับ Cucumber บน Vscode,tumit
2020/01/31,งานโค้ชคืองานศิลปะ และ ศิลปะมันต้องใช้เวลา,Amorndej <Ko-Dookie>
2020/02/01,เล่าสู่กันฟัง NVC (Nonviolence Communication) การสื่อสารเพื่อ(สันติ) สานสัมพันธ์ ตอนที่ 1: การสังเกต ไม่ใช่การตีความ (การสื่อสารแบบ Empathy),Dark_Spirit (Warm)
2020/02/02,เล่าให้ฟัง NVC การสื่อสารเพื่อสานสัมพันธ์ : ตอน 2 ความรู้สึก ไม่ใช่ ความคิด (รู้เค้า รู้เรา คุย 100 ครั้ง เข้าใจ 100 ครั้ง),Dark_Spirit (Warm)
2020/02/03,เล่าเข้มๆ NVC การสื่อสารเพื่อสานสัมพันธ์ : ตอน 3 ความต้องการ ไม่ใช่ วิธีการ (อยากได้อะไรให้บอกมา),Dark_Spirit (Warm)
2020/02/03,เล่าหมดเปลือกNVC การสื่อสารเพื่อสานสัมพันธ์ : ตอนจบและตอนแถม การร้องขอ ไม่ใช่ การเรียกร้อง และ ภาษาหมาป่า ภาษายีราฟ,Dark_Spirit (Warm)
2020/02/04,ความสามัคคีปลอม ๆ,แมวใบไม้ ครองโลก Airmee Chanita Anuwong
2020/02/06,Gource,Chokchai Phatharamalai
2020/02/06,อยากดู Code Coverage Report บน .Net Core แบบง่ายๆ,Nitcharee Patkhunjiratawol
2020/02/06,เวลาเจอปัญหาทับ จงอยู่นิ่งๆ อย่ารีบ แล้วค่อยๆ ยกมันออก,Dark_Spirit (Warm)
2020/02/07,Agile ทำให้เราทำงานได้ช้าลง แต่ชัดขึ้น,Dark_Spirit (Warm)
2020/02/08,MoSCoW Prioritization ไม่ใช่รัสเซีย แต่ไว้ใช้คุ้ยเขี่ย Priority,Dark_Spirit (Warm)
2020/02/10,ครั้งแรกกับประสบการณ์จัดงาน JavaScript Bangkok 1.0.0ในปี 2020,Phatcharaphan Ananpreechakun
2020/02/12,ข้อคิดจากคลาส Facilitative Training #2 อุปกรณ์ธรรมดาที่ไม่ธรรมดา,Dark_Spirit (Warm)
2020/02/13,Organizational debt,Chokchai Phatharamalai
2020/02/17,มาเขียน End-to-end testing in React Native with Detox กัน,Phatcharaphan Ananpreechakun
2020/02/18,Cypress — แยก Step Definitions,tumit
2020/02/20,Empathic listening การฟังด้วยหัวใจ,Chokchai Phatharamalai
2020/02/27,จักรวาลจัดสรร,Chokchai Phatharamalai
2020/03/04,Shebang แบง แบง แบง,Chonlasith Jucksriporn
2020/03/05,Super Solar Enlightenment ของแอร์หมี,Chokchai Phatharamalai
2020/03/12,หัวหน้าครับ บอกด้วยได้ไหม ว่าทำทำไม?,Chokchai Phatharamalai
2020/03/14,เขียนโค้ดเป็นวิทยาศาสตร์,Pallat Anchaleechamaikorn
2020/03/19,Mindful walk,Chokchai Phatharamalai
2020/03/19,SFH (Scrum From Home) Preparation and What Do PO do when WFH (Work From Home),Dark_Spirit (Warm)
2020/03/19,Distribute app ของเราลงสู่ device ด้วย Firebase app distribution,Phatcharaphan Ananpreechakun
2020/03/20,ความขัดแย้งคือธรรมชาติ,แมวใบไม้ ครองโลก Airmee Chanita Anuwong
2020/03/20,ปัญหา และความคิดเห็นที่แตกต่าง,แมวใบไม้ ครองโลก Airmee Chanita Anuwong
2020/03/21,go import gitlab,Pallat Anchaleechamaikorn
2020/03/23,อย่าเอาความรู้จำฉันไป,Kotchaphan Muangsan
2020/03/26,Undo brew upgrade,Chokchai Phatharamalai
2020/03/31,เรื่องเก่าเล่าใหม่ กับ Size Estimation,โอฬาร อึงอำนวยพร
2020/04/02,PO ไม่ให้เวลา cleanup code เลย…,Chokchai Phatharamalai
2020/04/02,Build NodeJS project บน alpine… พัง!!,Chonlasith Jucksriporn
2020/04/04,iOS Swift Auto Layout Constraints in Code,Phatcharaphan Ananpreechakun
2020/04/05,เข้าใจพื้นฐานการพัฒนาทีมด้วย Tuckman’s stages of group development,Roof 44 Panichsombat
2020/04/05,[.Net Core WebApi] วิธีการตั้งเวลาให้ function หรือ jobs ทำงาน ด้วย Hangfire แบบ Step By Step,Chaiyarin Niamsuwan
2020/04/09,Work from home,Chokchai Phatharamalai
2020/04/16,ผมพร้อมจะติด COVID เบอร์ไหน?,Chokchai Phatharamalai
2020/04/18,สลับมาใช้ Python3 ด้วย link,แมวใบไม้ ครองโลก Airmee Chanita Anuwong
2020/04/19,ทำให้ terminal/iTerm2 มี emoji ขึ้น random + syntax hi-light,แมวใบไม้ ครองโลก Airmee Chanita Anuwong
2020/04/23,Pomodoro,Chokchai Phatharamalai
2020/04/25,วิธีการเรียงหน้าต่างคู่กัน บน Mac,แมวใบไม้ ครองโลก Airmee Chanita Anuwong
2020/04/28,Java — Map value to POJO object,tumit
2020/04/28,Customizing The 404 Page React Next.js,Phatcharaphan Ananpreechakun
2020/04/29,เมื่อดี ดีกว่า ดีที่สุด — When Good Better Than Best,Jane.Makub
2020/04/30,ติดเกม,Chokchai Phatharamalai
2020/04/30,เรโทร สะเป็คทีฟ ทีม Aircraft F1 ณ 30 Apr 2020,แมวใบไม้ ครองโลก Airmee Chanita Anuwong
2020/05/04,ลูกชายคนแรกแต่จะพยายามลากไปเรื่อง User behaviorsให้ได้,Kamonlojn Phrompang
2020/05/04,Accountability vs Responsibility,แมวใบไม้ ครองโลก Airmee Chanita Anuwong
2020/05/05,Angular の Unit Testing — Part 5 http testing,Kitphon Poonyapalang
2020/05/07,ผลจากการฝึก Pomodoro มา 1 สัปดาห์,Chokchai Phatharamalai
2020/05/11,เลือก สีสัน iterm2 theme,แมวใบไม้ ครองโลก Airmee Chanita Anuwong
2020/05/11,Make iterm2 look nice by importing color presets,แมวใบไม้ ครองโลก Airmee Chanita Anuwong
2020/05/14,LeSS ไม่เหมาะกับองค์กรคุณหรอกถ้า…,Chokchai Phatharamalai
2020/05/19,ลำดับการฟัง,Chokchai Phatharamalai
2020/05/21,ส่งข้อมูลผ่าน router ด้วย Resolveใน Angular,Kitphon Poonyapalang
2020/05/26,ลำดับตัดสินใจ,Chokchai Phatharamalai
2020/05/29,กรณีศึกษา Thaichana กับ Bias หนึ่งในอุปสรรค์สำคัญของการสร้าง Product,Dark_Spirit (Warm)
2020/05/29,เล่าให้ฟัง Journey การสมัครงานด้วย Facebook ที่ง่ายแบบคาดไม่ถึง,Dark_Spirit (Warm)
2020/06/02,ฝึกพิมพ์,Chokchai Phatharamalai
2020/06/12,Live ขายของ มันเกี่ยวกับ Behavioural science ยังไงนะ,Dark_Spirit (Warm)
2020/06/16,วิธีค้นรูปที่มี Creative Commons มาใช้ในบทความ,Chokchai Phatharamalai
2020/06/22,งานแบบไหนเหมาะกับสกรัม?,Chokchai Phatharamalai
2020/06/30,วิธีเรียบเรียงบทความ,Chokchai Phatharamalai
2020/07/01,บันทึกการเรียนรู้ การเขียน Unit Test ให้ Vuejs Application,Supawit R
2020/07/02,ความมั่นคงในชีวิต,Chokchai Phatharamalai
2020/07/14,Sprint ต้องไม่รู้ผลสิ ถึงจะสนุก,Chokchai Phatharamalai
2020/07/20,ทำสกรัมทำไมไม่เร็ว?,Chokchai Phatharamalai
2020/07/27,Shaving the yak,Chokchai Phatharamalai
2020/07/27,[Django] เริ่มโปรเจคใหม่ทั้งที ต้องมีอะไรบ้างนะ? EP.1 — init Project,Isaman Sangbumrung
2020/07/30,วิธีการ Setup React ใน Ruby on Rails,Suzuki Aki
2020/08/01,[Android Architecture the series] Ep.1 MVC and MVP Concepts,Supawit R
2020/08/03,วิธีขอร้องแบบสันติ,Chokchai Phatharamalai
2020/08/05,Usability Test With New Normal,Kamonlojn Phrompang
2020/08/10,F*** Product Owner,Chokchai Phatharamalai
2020/08/10,วิธียุบหลาย ๆ git commit เป็นหนึ่ง,Chonlasith Jucksriporn
2020/08/10,เขียนข้อความ commit ให้ใช้กับ CI/CD ได้ด้วย Conventional Commits,Chonlasith Jucksriporn
2020/08/12,งาน Software ที่วาดด้วยสีน้ำมัน,Sarawuth Chinbenjapol
2020/08/16,วิ่งปลอม vs วิ่งจริง,Apirak
2020/08/16,การตั้งค่าให้ Prettier กับ ESLint อยู่ร่วมกันอย่างสันติสุข🤝,Wongsakorn Chugasem
2020/08/17,ผมไม่เข้าใจเรื่องให้เงินทำงาน,Chokchai Phatharamalai
2020/08/22,เมื่อผมได้รู้จัก UX,A’phirat Nimanussonkul
2020/08/24,มือเปื้อนดิน,Chokchai Phatharamalai
2020/08/29,จาก 4 ลำดับขั้นของการเรียนรู้ ยาวไปจนถึง Shu-Ha-Ri-Kokoro,Chonlasith Jucksriporn
2020/08/31,รู้ยัง? การ์ดใน Jira ไม่มีร่วง,Chokchai Phatharamalai
2020/09/01,Design thinking doesn’t work in real life? ???? (Design Thinking ไม่ใช่ไม้วิเศษ จริงดิ),Dark_Spirit (Warm)
2020/09/02,[Android Architecture the series] Ep.2 Testing MVP,Supawit R
2020/09/07,ให้ Flow เป็นจรรยาบรรณ,Chokchai Phatharamalai
2020/09/14,MVP ทีมแพ้,Chokchai Phatharamalai
2020/09/21,Pair programming 4 แบบ,Chokchai Phatharamalai
2020/09/28,การให้ vs หว่านพืชหวังผล,Chokchai Phatharamalai
2020/09/28,Self-organizing Team ไม่ใช่ง่าย,แมวใบไม้ ครองโลก Airmee Chanita Anuwong
2020/09/30,UX Usability Heuristic 1/10 (ระบบบอกฉันหน่อย),Sarawuth Chinbenjapol
2020/10/01,UxUi โลกเสมือนจริงที่อยู่ในหน้าจอ,Sarawuth Chinbenjapol
2020/10/01,หลักการของแข็ง? SOLID Principles,Supawit R
2020/10/05,NO BROKEN WINDOWS,Chokchai Phatharamalai
2020/10/06,ทำให้ App ของเรารู้สึกปลอดภัย,Sarawuth Chinbenjapol
